id,price,brand,model,year,title_status,mileage,color,state,country
122,28500,ford,door,2017,clean vehicle,48086,red,south carolina,usa
123,47500,cadillac,door,2017,clean vehicle,26562,black,michigan,usa
124,23500,ford,explorer,2017,clean vehicle,57611,black,south carolina,usa
125,23505,chevrolet,colorado,2017,clean vehicle,47357,black,michigan,usa
126,10940,ford,door,2017,clean vehicle,84916,white,texas,usa
127,32100,ford,f-150,2017,clean vehicle,24521,gray,south carolina,usa
128,53000,chevrolet,3500,2018,clean vehicle,16105,black,washington,usa
129,6830,ford,mpv,2017,clean vehicle,35888,gold,texas,usa
130,11900,dodge,caravan,2017,clean vehicle,59537,gray,south carolina,usa
131,26414,chevrolet,1500,2017,clean vehicle,55222,black,michigan,usa
132,4160,dodge,mpv,2018,clean vehicle,32870,gray,florida,usa
133,19405,chevrolet,door,2017,clean vehicle,39687,silver,michigan,usa
134,5690,dodge,mpv,2018,clean vehicle,47085,silver,florida,usa
135,25900,chrysler,van,2017,clean vehicle,32224,silver,south carolina,usa
136,24005,chevrolet,1500,2017,clean vehicle,51293,beige,michigan,usa
137,5090,dodge,mpv,2018,clean vehicle,42989,gray,florida,usa
138,19500,chrysler,300,2017,clean vehicle,31311,gray,arizona,usa
139,32012,chevrolet,1500,2017,clean vehicle,46091,white,michigan,usa
140,6800,dodge,dart,2016,clean vehicle,49033,black,michigan,usa
141,4260,dodge,mpv,2018,clean vehicle,33957,gray,florida,usa
142,31802,chevrolet,2500,2017,clean vehicle,19845,silver,michigan,usa
143,7210,dodge,doors,2018,clean vehicle,38910,black,florida,usa
144,28402,chevrolet,1500,2017,clean vehicle,31234,black,michigan,usa
145,6800,dodge,doors,2018,clean vehicle,36767,gray,florida,usa
146,33300,cadillac,esv,2015,clean vehicle,57932,gray,washington,usa
147,10780,dodge,mpv,2018,clean vehicle,19420,white,florida,usa
148,6700,ford,cutaway,2014,clean vehicle,204155,beige,pennsylvania,usa
149,20000,chevrolet,1500,2016,clean vehicle,93493,white,washington,usa
150,6440,chrysler,doors,2018,clean vehicle,20942,gray,florida,usa
151,19900,ford,door,2016,clean vehicle,86826,gray,south carolina,usa
152,37000,chevrolet,door,2015,clean vehicle,45787,white,washington,usa
153,4040,dodge,mpv,2018,clean vehicle,50765,red,florida,usa
154,22300,ford,explorer,2016,clean vehicle,62774,black,south carolina,usa
155,31200,chevrolet,door,2011,clean vehicle,76326,gray,washington,usa
156,4290,dodge,mpv,2018,clean vehicle,39029,white,florida,usa
157,22800,ford,el,2016,clean vehicle,72885,silver,south carolina,usa
158,19002,cadillac,door,2016,clean vehicle,46467,white,michigan,usa
159,4160,dodge,mpv,2018,clean vehicle,6743,gray,florida,usa
160,18500,ford,edge,2016,clean vehicle,33514,white,south carolina,usa
161,39000,bmw,series,2016,clean vehicle,39917,blue,michigan,usa
162,6060,dodge,doors,2018,clean vehicle,32504,black,florida,usa
163,28800,ford,door,2016,clean vehicle,77638,white,south carolina,usa
164,40000,bmw,series,2016,clean vehicle,31727,gray,michigan,usa
165,6140,dodge,doors,2018,clean vehicle,52966,silver,florida,usa
166,21000,ford,flex,2016,clean vehicle,24157,gray,south carolina,usa
167,20105,buick,door,2016,clean vehicle,51393,beige,michigan,usa
168,6760,dodge,doors,2018,clean vehicle,35461,white,florida,usa
169,25800,ford,door,2014,clean vehicle,47055,brown,pennsylvania,usa
170,39000,bmw,series,2016,clean vehicle,33110,black,michigan,usa
171,5470,dodge,mpv,2018,clean vehicle,39721,black,florida,usa
172,14600,ford,door,2014,clean vehicle,75785,black,pennsylvania,usa
173,24502,chevrolet,1500,2016,clean vehicle,33624,black,michigan,usa
174,15110,ford,door,2017,clean vehicle,42289,white,texas,usa
175,7900,ford,door,2014,clean vehicle,79422,white,new york,usa
176,27305,chevrolet,door,2016,clean vehicle,28844,blue,michigan,usa
177,15290,ford,door,2017,clean vehicle,66582,white,texas,usa
178,26500,ford,door,2015,clean vehicle,61436,silver,south carolina,usa
179,25502,chevrolet,door,2016,clean vehicle,58303,silver,michigan,usa
180,7320,ford,mpv,2017,clean vehicle,55618,white,texas,usa
181,3800,chevrolet,van,2009,clean vehicle,261648,white,michigan,usa
182,24502,chevrolet,door,2016,clean vehicle,33045,white,michigan,usa
183,4140,ford,door,2017,clean vehicle,40747,white,texas,usa
184,1400,dodge,pk,2002,clean vehicle,185460,black,michigan,usa
185,18402,cadillac,srx,2016,clean vehicle,26667,gray,michigan,usa
186,4160,ford,door,2017,clean vehicle,37176,white,texas,usa
187,175,chrysler,door,2000,salvage insurance,231240,red,north carolina,usa
188,24503,chevrolet,colorado,2016,clean vehicle,18006,brown,michigan,usa
189,15840,ford,door,2017,clean vehicle,72445,white,texas,usa
190,20500,ford,door,2014,clean vehicle,123355,black,south carolina,usa
191,21003,chevrolet,1500,2016,clean vehicle,44116,silver,michigan,usa
192,4200,ford,door,2017,clean vehicle,60219,red,texas,usa
193,17400,ford,door,2011,clean vehicle,135077,red,georgia,usa
194,32001,chevrolet,door,2016,clean vehicle,32058,black,michigan,usa
195,15700,ford,cab,2011,clean vehicle,309564,white,south carolina,usa
196,31009,chevrolet,door,2016,clean vehicle,33928,white,michigan,usa
197,3740,ford,wagon,2017,clean vehicle,90618,white,texas,usa
198,5000,dodge,pickup,2001,clean vehicle,109360,white,georgia,usa
199,31002,chevrolet,door,2016,clean vehicle,71809,white,michigan,usa
200,3160,ford,doors,2017,clean vehicle,31563,gray,texas,usa
201,8600,dodge,pickup,2005,clean vehicle,219823,gray,south carolina,usa
202,6000,chevrolet,malibu,2018,clean vehicle,42090,gray,texas,usa
203,12990,ford,door,2017,clean vehicle,126523,white,texas,usa
204,25,chevrolet,vehicl,2020,salvage insurance,7232,black,kentucky,usa
205,13200,buick,encore,2017,clean vehicle,60171,black,texas,usa
206,4410,ford,wagon,2017,clean vehicle,209915,white,texas,usa
207,25,chrysler,door,2005,salvage insurance,151815,silver,massachusetts,usa
208,22500,chevrolet,camaro,2020,clean vehicle,13826,green,georgia,usa
209,7420,ford,mpv,2017,clean vehicle,55854,white,texas,usa
210,13500,ford,door,2016,clean vehicle,45757,silver,arizona,usa
211,15500,chevrolet,trax,2020,clean vehicle,16545,white,georgia,usa
212,3540,ford,door,2017,clean vehicle,112893,white,texas,usa
213,17000,ford,door,2016,clean vehicle,126802,no_color,florida,usa
214,45500,chevrolet,tahoe,2020,clean vehicle,13303,white,georgia,usa
215,4130,ford,door,2017,clean vehicle,34061,silver,texas,usa
216,15700,ford,door,2015,clean vehicle,70251,white,arizona,usa
217,45500,chevrolet,tahoe,2020,clean vehicle,13679,gray,georgia,usa
218,4130,ford,doors,2017,clean vehicle,42426,gray,texas,usa
219,15500,dodge,door,2012,clean vehicle,66452,black,pennsylvania,usa
220,16300,chevrolet,trax,2020,clean vehicle,18221,white,georgia,usa
221,4530,ford,mpv,2017,clean vehicle,41455,white,texas,usa
222,15600,dodge,door,2011,clean vehicle,35275,black,pennsylvania,usa
223,45500,chevrolet,tahoe,2020,clean vehicle,13885,white,georgia,usa
224,4100,ford,door,2017,clean vehicle,38815,gray,texas,usa
225,18200,dodge,door,2011,clean vehicle,162281,white,pennsylvania,usa
226,10200,chevrolet,door,2013,clean vehicle,56479,black,texas,usa
227,4080,ford,doors,2017,clean vehicle,61027,black,texas,usa
228,5700,ford,van,2014,clean vehicle,178703,white,florida,usa
229,10200,chevrolet,3500,2014,clean vehicle,173469,white,texas,usa
230,5000,ford,door,2017,clean vehicle,37321,white,texas,usa
231,1700,ford,door,2014,clean vehicle,112789,white,florida,usa
232,6200,bmw,door,2011,clean vehicle,80394,gray,texas,usa
233,3650,ford,door,2016,clean vehicle,68142,white,texas,usa
234,10500,dodge,door,2014,clean vehicle,74203,white,arizona,usa
235,43500,chevrolet,2500,2018,clean vehicle,57604,white,georgia,usa
236,4610,dodge,van,2016,clean vehicle,87229,silver,texas,usa
237,3450,ford,door,2012,clean vehicle,90711,white,florida,usa
238,38500,chevrolet,suburban,2018,clean vehicle,11135,silver,georgia,usa
239,6810,ford,mpv,2016,clean vehicle,66781,silver,texas,usa
240,2900,ford,cargo,2011,clean vehicle,190994,white,florida,usa
241,43500,chevrolet,2500,2018,clean vehicle,56007,white,georgia,usa
242,4450,ford,mpv,2016,clean vehicle,32486,white,texas,usa
243,5800,ford,door,2011,clean vehicle,195908,white,florida,usa
244,16500,chevrolet,equinox,2018,clean vehicle,18020,silver,georgia,usa
245,4240,dodge,mpv,2016,clean vehicle,83262,white,texas,usa
246,26500,ford,pickup,2008,clean vehicle,62015,white,pennsylvania,usa
247,13700,chevrolet,equinox,2017,clean vehicle,36421,silver,georgia,usa
248,8600,ford,door,2016,clean vehicle,73321,white,texas,usa
249,8000,ford,chassis,2008,clean vehicle,132379,white,florida,usa
250,14200,chevrolet,equinox,2017,clean vehicle,28013,silver,georgia,usa
251,7040,ford,mpv,2016,clean vehicle,33291,silver,texas,usa
252,4700,ford,chassis,2005,clean vehicle,225236,no_color,florida,usa
253,30851,chevrolet,door,2016,clean vehicle,43176,red,georgia,usa
254,4880,ford,mpv,2016,clean vehicle,36876,silver,texas,usa
255,14500,dodge,pickup,2006,clean vehicle,111782,silver,pennsylvania,usa
