id,price,brand,year,title_status,mileage,color,state,region,country
1359,21500,ford,2017,clean vehicle,76876,gray,california,West,usa
1360,17300,ford,2019,clean vehicle,28070,white,north carolina,South,usa
1361,27000,ford,2017,clean vehicle,3189,silver,california,West,usa
1362,31800,ford,2017,clean vehicle,28359,white,florida,South,usa
1363,13000,ford,2017,clean vehicle,42890,gray,california,West,usa
1364,31800,ford,2017,clean vehicle,29328,silver,florida,South,usa
1365,46300,ford,2016,clean vehicle,47531,black,california,West,usa
1366,6000,ford,2015,clean vehicle,57345,gray,missouri,Midwest,usa
1367,22800,ford,2016,clean vehicle,67546,silver,california,West,usa
1368,45000,ford,2019,clean vehicle,18153,white,pennsylvania,Northeast,usa
1369,49500,ford,2019,clean vehicle,17689,black,pennsylvania,Northeast,usa
1370,3000,ford,2012,clean vehicle,137171,white,missouri,Midwest,usa
1371,20000,ford,2015,clean vehicle,63445,gray,california,West,usa
1372,25300,ford,2019,clean vehicle,26422,black,pennsylvania,Northeast,usa
1373,4000,ford,2015,salvage insurance,149319,white,south carolina,South,usa
1374,45500,ford,2019,clean vehicle,18767,gray,pennsylvania,Northeast,usa
1375,9100,ford,2018,clean vehicle,38289,silver,minnesota,Midwest,usa
1376,48000,ford,2019,clean vehicle,22960,black,pennsylvania,Northeast,usa
1377,47000,ford,2019,clean vehicle,17263,blue,pennsylvania,Northeast,usa
1378,49500,ford,2019,clean vehicle,16981,black,pennsylvania,Northeast,usa
1379,31200,ford,2019,clean vehicle,13058,black,pennsylvania,Northeast,usa
1380,18500,ford,2014,clean vehicle,45887,white,california,West,usa
1381,15500,ford,2019,clean vehicle,21740,silver,pennsylvania,Northeast,usa
1382,30500,ford,2019,clean vehicle,17707,black,pennsylvania,Northeast,usa
1383,45500,ford,2019,clean vehicle,19121,silver,pennsylvania,Northeast,usa
1384,31500,ford,2019,clean vehicle,18856,black,pennsylvania,Northeast,usa
1385,11000,ford,2013,clean vehicle,84752,white,new jersey,Northeast,usa
1386,46500,ford,2019,clean vehicle,19555,white,pennsylvania,Northeast,usa
1387,31500,ford,2019,clean vehicle,16340,black,pennsylvania,Northeast,usa
1388,32000,ford,2018,clean vehicle,17242,white,ohio,Midwest,usa
1389,23900,ford,2019,clean vehicle,28733,black,pennsylvania,Northeast,usa
1390,31500,ford,2019,clean vehicle,16019,black,pennsylvania,Northeast,usa
1391,18500,ford,2016,clean vehicle,75580,black,ohio,Midwest,usa
1392,1500,ford,2013,salvage insurance,113444,white,georgia,South,usa
1393,46000,ford,2019,clean vehicle,19227,white,pennsylvania,Northeast,usa
1394,31500,ford,2019,clean vehicle,13633,black,pennsylvania,Northeast,usa
1395,14700,ford,2015,clean vehicle,37739,white,new jersey,Northeast,usa
1396,2700,ford,2013,salvage insurance,103541,green,michigan,Midwest,usa
1397,47500,ford,2019,clean vehicle,24072,blue,pennsylvania,Northeast,usa
1398,31500,ford,2019,clean vehicle,17657,black,pennsylvania,Northeast,usa
1399,8900,ford,2014,clean vehicle,77392,red,new jersey,Northeast,usa
1400,7000,ford,2019,salvage insurance,11930,white,michigan,Midwest,usa
1401,49000,ford,2019,clean vehicle,19731,red,pennsylvania,Northeast,usa
1402,31500,ford,2019,clean vehicle,15581,black,pennsylvania,Northeast,usa
1403,8900,ford,2014,clean vehicle,70181,black,new jersey,Northeast,usa
1404,48000,ford,2019,clean vehicle,16143,black,pennsylvania,Northeast,usa
1405,50000,ford,2019,clean vehicle,17995,black,pennsylvania,Northeast,usa
1406,47300,ford,2019,clean vehicle,23926,black,pennsylvania,Northeast,usa
1407,45000,ford,2017,clean vehicle,57929,black,louisiana,South,usa
1408,49000,ford,2019,clean vehicle,20758,silver,pennsylvania,Northeast,usa
1409,40200,ford,2019,clean vehicle,10028,gray,texas,South,usa
1410,48000,ford,2019,clean vehicle,21051,black,pennsylvania,Northeast,usa
1411,5000,ford,2015,clean vehicle,136307,silver,louisiana,South,usa
1412,8200,ford,2013,clean vehicle,105880,silver,new jersey,Northeast,usa
